,input
715,پروگرام بنانے کے لیے کمپیوٹر استعمال کرنے کے دو فائدے بتائیں۔
716,دی گئی معلومات کے ساتھ، ایک ممکنہ درخواست کا تصور کریں۔آواز کی شناخت کی ٹیکنالوجی
717,درج ذیل ترتیب میں اگلے دو نمبروں کا تعین کریں: 4، 8، 12، 16
718,رات کے کھانے کی تین مزیدار ترکیبوں کی فہرست بنائیں۔
719,کیلنڈر میں کون سے مہینے شامل کیے گئے اور کیوں؟
720,60 سیکنڈ کے اشتہار کے لیے اسٹوری بورڈ ڈیزائن کریں۔
721,کیا یہ فٹ بال ہے یا فٹ بال جو وہ ہالینڈ میں کھیلتے ہیں؟
722,10 ریاضی کی اصطلاحات اور ان کے متعلقہ معنی کے ساتھ آئیں
723,ایسی صورتحال کی وضاحت کریں جو قیادت کے مضبوط احساس کو ظاہر کرے۔
724,ذاتی مالیات پر توجہ مرکوز کرنے والے بک کلب کے لیے 10 کتابوں کی فہرست کے ساتھ آئیں۔
725,ڈچ سے انگریزی میں ترجمہ۔حج گف ہار ان گروٹ نوفل۔
726,کیریئر کے راستے کی وضاحت کریں جس کا آپ پیچھا کرنا چاہتے ہیں۔
727,ورچوئل اسسٹنٹ کی بہترین تعریف بنانے کے لیے الفاظ کو ایک ساتھ گروپ کریں۔AI، خودکار، کام
728,"مندرجہ ذیل نکات کو مصنوعی ذہانت کے استعمال کے فوائد یا نقصانات کے طور پر درجہ بندی کریں۔• کارکردگی میں اضافہ
جانبدارانہ فیصلوں کا امکان
• پیچیدہ فیصلے کرنے کی صلاحیت"
729,"کھانے یا مشروبات کے طور پر ذیل میں درجہ بندی کریں۔
بریانی، پاستا، سٹیک، کاک ٹیل، ماک ٹیل، شراب"
730,طرز عمل کا ایک مجموعہ لکھیں جنہیں فاسٹ فوڈ ریسٹورنٹ کھانے کے ضیاع کو کم کرنے کے لیے نافذ کر سکتا ہے۔
731,یورینیم 235 کی نصف زندگی کیا ہے؟
732,درج ذیل ان پٹ کو دیکھتے ہوئے، کیا آپ ہر لفظ کے ابتدائیہ کو آؤٹ پٹ کر سکتے ہیں؟جان ایپل اسمتھ
733,شناخت کریں کہ کون سا آلہ تار یا ووڈ ونڈ ہے: اسور، آلوکروم
734,مندرجہ ذیل جملے کو دیکھتے ہوئے، مجموعی جذبات کا تعین کریں۔یہ ایپل پائی بالکل مزیدار ہے۔
735,Cien años de soledad کیا ہے؟One Hundred Years of Solitude کولمبیا کے مصنف گیبریل گارسیا مارکیز کا ایک ناول ہے، جسے 1982 میں ادب کا نوبل انعام دیا گیا تھا۔ اسے ہسپانوی-امریکی اور عالمگیر ادب کا شاہکار تصور کیا جاتا ہے، اور ساتھ ہی اس میں سب سے زیادہ ترجمہ شدہ اور پڑھے جانے والے کاموں میں سے ایک ہے۔ ہسپانوی 1 مارچ 2007 میں کارٹاجینا ڈی انڈیا میں منعقدہ ہسپانوی زبان کی IV بین الاقوامی کانگریس کے دوران اسے ہسپانوی زبان کے سب سے اہم کاموں میں سے ایک کے طور پر درج کیا گیا تھا۔ ہسپانوی اخبار ایل منڈو کی صدی، فرانسیسی اخبار لی مونڈے کی 20ویں صدی کی 100 کتابوں کی فہرست میں 3 اور نارویجن بک کلب کی اب تک کی 100 بہترین کتابوں میں۔ 4
736,کارگو بحری جہازوں کے حوالے سے اس حوالہ کے متن کو دیکھتے ہوئے، یو ایس ایس ویسٹ گیٹ کب شروع ہوا؟USS ویسٹ گیٹ (ID-3216) پہلی جنگ عظیم کے دوران ریاستہائے متحدہ کی بحریہ کے لیے ایک کارگو جہاز تھا۔ اس جہاز کو ایس ایس وار ایگیٹ کے طور پر رکھا گیا تھا، لیکن اسے جنوری 1918 میں اس کی بجائے ایس ایس ویسٹ گیٹ کے طور پر لانچ کیا گیا۔
737,بلیوں کے لیے زہریلے گھر کے پودے کیا ہیں؟
738,واضح زبان کا استعمال کرتے ہوئے پینٹنگ کی وضاحت کریں۔
739,درج ذیل بیان میں بنیادی جذبات کا پتہ لگائیں۔میں یقین نہیں کر سکتا کہ میں نے دوبارہ گڑبڑ کی۔
740,ایک سافٹ ویئر کا جعلی کسٹمر جائزہ تیار کریں۔
741,فضائی آلودگی کی دو اقسام کے نام بتائیں اور بتائیں کہ ہر ایک انسانی صحت کو کیسے متاثر کرتی ہے۔
742,50 سے کم الفاظ میں درج ذیل عبارت کا خلاصہ کریں۔امیگریشن کا مسئلہ نازک ہو گیا ہے کیونکہ بہتر زندگی کے لیے امریکہ میں داخل ہونے کے خواہشمند افراد کی تعداد میں اضافہ ہو رہا ہے۔ امیگریشن تنازعات اور بحث کا ایک مستقل ذریعہ رہا ہے، امیگریشن کے فوائد اور نقصانات کے بارے میں رائے میں وسیع تغیرات کے ساتھ۔ دنیا کے ایک حصے سے دوسرے حصے میں ہجرت کوئی معمولی بات نہیں ہے، اس کے باوجود ریاستہائے متحدہ میں امیگریشن کی بحث کی موجودہ حالت بڑھ گئی ہے اور تفرقہ انگیز ہو گئی ہے۔
743,دیئے گئے جملے میں موجود صفتوں کو اسم میں تبدیل کریں۔گاڑی تیز اور لگژری تھی۔
744,اس متن کو دیکھتے ہوئے، 1988 میں میکلین کا نمبر ون ڈرائیور کون تھا۔1988 میں، لوٹس کے ساتھ 1987 کے پورے سیزن میں ہونڈا کے ساتھ تعلقات کی وجہ سے، اور میک لارن کے نمبر ایک ڈرائیور اور اس وقت کے ڈبل ورلڈ چیمپئن، ایلین پروسٹ کی منظوری سے، سینا نے میک لارن ٹیم میں شمولیت اختیار کی۔[54] سیننا اور پروسٹ کے درمیان ایک سخت مقابلے کی بنیاد رکھی گئی تھی، جس کا اختتام اگلے پانچ سالوں میں دونوں کے درمیان کئی ڈرامائی ریس کے واقعات پر ہوا۔ تاہم، تجربہ کار جوڑی کو بھی جلد ہی احساس ہو گیا، ان کی ذاتی دشمنی کے باوجود، انہیں فیراری، ولیمز، بینیٹن اور لوٹس سے اپنی اہم مخالفت کو آگے رکھنے کے لیے، خاص طور پر جانچ میں، مل کر کام کرنا تھا۔
745,ایک اچھے ادب کے پروفیسر کے لیے تین اہم ترین خصوصیات کیا ہیں؟
746,دماغی صحت کی خرابی کی وضاحت کریں۔
747,میں اپنی نیند کو کیسے بہتر بنا سکتا ہوں؟
748,"درج ذیل خبروں کو تین زمروں میں تقسیم کریں:
جرم، ٹیکنالوجی، اور معیشت۔نیشنل بیورو آف اکنامک ریسرچ کی ایک نئی تحقیق میں کہا گیا ہے کہ نگرانی کی ٹیکنالوجیز پر خرچ کی جانے والی رقم سے جرائم کو کم کرنے میں کوئی اثر نہیں پڑتا۔"
749,باورچی خانے کے چھ آلات کی فہرست بنائیں جو ہر شیف کے پاس ہونی چاہیے۔
750,ہندوستان کے پانچ بڑے دریاؤں کے نام بتائیں۔
751,شہروں کو 'انڈیا' یا 'US' کے شہروں کے طور پر درجہ بندی کریں: بنگلور، پورٹ لینڈ، شکاگو، حیدرآباد، چنئی، لٹل راک، NYC، پونے، گاندھی نگر، Champaign، Urbana۔
752,کم بہاؤ فکسچر کی کچھ مثالیں کیا ہیں؟کم بہاؤ کا فکسچر پانی کی بچت کا پلمبنگ فکسچر ہے جسے پانی کی کم بہاؤ کی شرح یا فی فلش تھوڑی مقدار میں پانی کی بچت حاصل کرنے کے لیے ڈیزائن کیا گیا ہے۔ ان میں سے کچھ کم بہاؤ والے فکسچر ٹونٹی، شاور ہیڈز اور بیت الخلا ہیں۔ ریاستہائے متحدہ میں روایتی پلمبنگ فکسچر کا زیادہ سے زیادہ پانی کا استعمال وفاقی طور پر 1992 کے انرجی پالیسی ایکٹ کے ذریعے لازمی قرار دیا گیا تھا۔ کم بہاؤ والے فکسچر کو روایتی فکسچر کے مقابلے میں پانی کی بچت کے لیے ڈیزائن کیا گیا ہے جس کے بہاؤ کی شرح کم ہے جبکہ اب بھی تسلی بخش کارکردگی برقرار ہے۔ ماحولیاتی تحفظ کی ایجنسی (EPA) واٹر سینس پروگرام کے پاس پانی کی بچت کے کم بہاؤ کی تعریف حاصل کرنے کے لیے پلمبنگ فکسچر کے لیے تقاضے ہیں۔
753,متن کا ایک ٹکڑا دیا جائے، اسے سوالنامے میں تبدیل کریں۔Acme Corp نے پچھلے سال معیار اور کسٹمر سروس کے مسائل کے ساتھ جدوجہد کی۔
754,لوگوں کے ایک سیٹ اور ایک منزل کو دیکھتے ہوئے، ان کے لیے وہاں سفر کرنے کا کوئی موثر طریقہ تجویز کریں۔7 لوگ، سان فرانسسکو
755,دیئے گئے شخص کے لیے کیریئر سے متعلق سرگرمی تجویز کریں۔ایک کالج کا سینئر جو تخلیقی میدان میں نوکری کی تلاش میں ہے۔
756,ایک ہائیکو نظم بنائیں جس کا گہرا مطلب ہو۔
757,"کسٹمر کی اس شکایت کا مناسب جواب فراہم کریں:
مجھے اپنا آرڈر کبھی نہیں ملا"
758,اس کھانے کی اصل جگہ کی وضاحت کریں۔ہسپانوی پایلا
759,میں گرمی برداشت نہیں کر سکتا کے جملے کو مثبت انداز میں دوبارہ لکھیں۔
760,سوال: کیا Miracle Mineral Solution (MMS) COVID-19 کا علاج کرے گا؟
761,6 مربع کی تقسیم 8 کا حساب لگائیں۔
762,فرض کریں کہ آپ مالیاتی تجزیہ کار ہیں۔ ایک رپورٹ بنائیں جو مارکیٹ کے موجودہ حالات کا جائزہ لے۔
763,3 اضافی خصوصیات بنائیں جو ایک موبائل فون میں ہونی چاہیے۔
764,ڈیٹا بیس سسٹمز میں انسانی غلطی پر تجرباتی مطالعہ
765,فراہم کردہ پیراگراف کی بنیاد پر عمارت میں کتنی کھڑکیاں ہیں؟عمارت کے مغرب کی جانب مرکزی دروازے کا سامنا شمالی 14ویں ایونیو کی طرف ہے۔ عمارت کا محاذ کنکریٹ کے پورچ سے ہے جس میں تین قدم ہیں جو کھڑکیوں سے گھرے ہوئے ڈبل دروازوں کی طرف لے جاتے ہیں۔ ہر دروازے پر پانچ لائٹس کے پینل لگے ہوئے ہیں، اور اس کے اوپر سات پینل کی فین لائٹ کلب کے نام کے ساتھ ایک نشانی بناتی ہے۔ پائلسٹرز اور ٹسکن کالموں کے ایک جوڑے کے ذریعہ گیبلڈ ریٹرن ایک نو کلاسیکل آرکیٹیکچرل اثر کو ظاہر کرتے ہیں۔ سبز شٹر والی دو چار روشنی والی کھڑکیاں دروازے کے دونوں طرف مرکوز ہیں۔ ہر کھڑکی میں سبز رنگ کے دو پینل والے شٹر ہیں جن کے اوپر پورے چاند کے کٹ آؤٹ اور نیچے ہلال چاند ہے۔ شمال اور جنوب کی طرف چار کھڑکیاں ہیں اور عمارت کے پچھلے حصے میں تین ہیں۔ عمارت کو سفید پینٹ کیا گیا ہے اور کلیپ بورڈ میں شیٹ کیا گیا ہے سوائے اسبیسٹس شِنگلز سے ڈھکے چار نیچے والے کورسز کے۔ برآمدے اور چھت سبز ہیں۔[3]
766,کسٹمر کی وفاداری بڑھانے سے متعلق ایک تحقیقی موضوع بنائیں۔
767,"مجھے ان تمام فنکاروں کی بلیٹڈ فہرست دیں جو ٹرولز ورلڈ ٹور ساؤنڈ ٹریک پر اداکاری کرتے ہیں۔ٹرولز ورلڈ ٹور: اوریجنل موشن پکچر ساؤنڈ ٹریک 2020 ڈریم ورکس اینیمیشن فلم ٹرولز ورلڈ ٹور کا ساؤنڈ ٹریک البم ہے، جسے RCA ریکارڈز نے 13 مارچ 2020 کو ریلیز کیا ہے۔ یہ ساؤنڈ ٹریک بنیادی طور پر گلوکار، نغمہ نگار جسٹن ٹمبرلیک نے تیار کیا ہے۔[1] SZA اور Timberlake کے سنگلز The Other Side اور Anderson کے Don't Slack۔ Paak اور Timberlake کو البم سے پہلے ریلیز کیا گیا تھا۔[2]

پس منظر
سیکوئل میں برانچ کے طور پر اپنے صوتی کردار کو دوبارہ ادا کرنے کے ساتھ ساتھ، جسٹن ٹمبرلاک نے اس کے ساؤنڈ ٹریک کے لیے بطور ایگزیکٹو پروڈیوسر بھی خدمات انجام دیں، جیسا کہ انھوں نے اصل فلم کے ساؤنڈ ٹریک پر کیا تھا، جو 2016 میں ریلیز ہوئی تھی۔ 13 فروری کو سوشل میڈیا نے اس پر نمایاں فنکاروں کو بھی ٹیگ کیا۔

فلم کے پلاٹ کے بعد، جس میں پہلی فلم کے ٹرولز نے دریافت کیا کہ دنیا بھر کے ٹرول موسیقی کی چھ مختلف اقسام (پاپ، فنک، کلاسیکی، ٹیکنو، کنٹری اور راک) سے تقسیم ہیں، ساؤنڈ ٹریک میں ان میں گانے شامل ہیں۔ انواع[4]

ٹریک لسٹنگ
نمبر۔ ٹائٹل رائٹر(ز) پروڈیوسر(ز) کی لمبائی
1. دی دوسری طرف (SZA اور جسٹن ٹمبرلیک)
Solána RoweSarah Aarons جسٹن ٹمبرلیک لڈ وِگ گورنسن میکس مارٹن
ٹمبرلیک گورنسن
3:08
2. Trolls Wanna Have Good Times (Ana Kendrick, Justin Timberlake, James Corden, Ester Dean, Icona Pop, Kenan Thompson and The Pop Trolls)
تھامسن برنارڈ ایڈورڈز کرسٹوفر ہارٹز ڈیمٹری برل ہربی ہینکوک لیڈی مس کیر گورنسن نائل راجرز کیو ٹِپ رابرٹ ہیزرڈ ٹووا تی
گورنسن 3:25
3. ڈونٹ سلیک (اینڈرسن .پاک اور جسٹن ٹمبرلیک)
ٹمبرلیک برینڈن اینڈرسن گورنسن
TimberlakeAnderson .PaakGöransson
2:54
4. یہ سب محبت ہے (اینڈرسن .پاک، جسٹن ٹمبرلیک، میری جے بلیج اور جارج کلنٹن)
اینڈرسن جیمز فانٹلرائے جوزف شرلی گورنسن
شرلی گورنسن
3:35
5. جسٹ سنگ (ٹرولز ورلڈ ٹور) (جسٹن ٹمبرلیک، اینا کینڈرک، کیلی کلارکسن، میری جے بلیج، اینڈرسن .پاک اور کینن تھامسن)
TimberlakeAaronsGöranssonMartin
ٹمبرلیک گورنسن
3:34
6. ایک بار پھر (انتھونی راموس)
تھامس بنگلٹر گائے مینوئل ڈی ہوم کرسٹو انتھونی مور
گورنسن 2:42
7. ایٹمک ڈاگ ورلڈ ٹور ریمکس (جارج کلنٹن اور پارلیمنٹ فنکاڈیلک، اینڈرسن .پاک اور میری جے بلیج)
کلنٹن ڈیوڈ سپریڈلی گیری شیڈر اینڈرسن
کلنٹن شرلی گورنسن
4:17
8. رینبوز، یونیکورنز، سب کچھ اچھا (والٹ ڈوہرن اور جوزف شرلی) ایڈن جینسن گورنسن 0:12
9. راک این رول رولز (ہائم اور لڈوگ گورنسن)
Alana HaimDanielle HaimEste HaimGöransson
گورنسن 3:10
10. تنہا فلیٹوں کو چھوڑنا (Dierks Bentley)
کرس سٹیپلٹن ٹمبرلیک
ٹمبرلیک گورنسن
3:10
11. مرنے کے لیے پیدا ہوا (کیلی کلارکسن)
سٹیپلٹن ٹمبرلیک
ٹمبرلیک گورنسن
3:26
12. ٹرولز 2 کئی ہٹس میشپ (اینا کینڈرک، جسٹن ٹمبرلیک، جیمز کارڈن، آئیکونا پاپ اور دی پاپ ٹرولز)
اینسلم ڈگلس آرمینڈو پیریز ڈونی واہلبرگ ڈین ہارٹ مین ایما بنٹن یو گن ہیونگ پارک جائی سانگ ڈیوڈ لسٹن بی مارک واہلبرگ میتھیو رو میلانی براؤن میلانی کریشولم پیٹر شروڈر بِف اسٹینارڈ سینڈی ولہیلمرجیسٹن
گورنسن 1:01
13. باراکوڈا (راچل بلوم)
این ولسن مائیکل ڈیروسیئر نینسی ولسن راجر فشر
گورنسن 4:06
14. Yodel Beat (Ludwig Göransson) Göransson Göransson 2:50
15. کریزی ٹرین (راچل بلوم)
Ozzy OsbourneRandy RhoadsBob Daisley
گورنسن 3:15
16. میں ٹکڑے ٹکڑے ہو گیا (سیم راک ویل)
ہانک کوچران ہارلن ہاورڈ
گورنسن 2:14
17. میرے لیے بہترین (جسٹن ٹمبرلیک)
TimberlakeKenyon Dixon Göransson
ٹمبرلیک گورنسن
3:47
18. روک یو ہریکین کی طرح (بلوم)
ہرمن راریبل کلاؤس مینروڈولف شینکر
گورنسن 3:05
19. یہ سب محبت ہے (فنک کی تاریخ) (جارج کلنٹن، میری جے بلیج، اینڈرسن .پاک)
اینڈرسن فانٹلرائے شرلی گورنسن
شرلی گورنسن
2:10
20. جسٹ سنگ (ٹرولز ورلڈ ٹور) (جسٹن ٹمبرلیک، اینا کینڈرک، جیمز کورڈن، کیلی کلارکسن، جارج کلنٹن، میری جے بلیج، اینڈرسن .پاک، ریچل بلوم، کینن تھامسن، انتھونی راموس، ریڈ ویلویٹ، آئیکونا پاپ اور سیم راک ویل)
S. RoweTimberlakeAaronsGöranssonMartin
ٹمبرلیک گورنسن
4:00
کل لمبائی: 60:00"
768,دیے گئے حقائق کو محفوظ رکھتے ہوئے ایک کہانی بنائیں۔ترتیب ایک چھوٹا، دور دراز شہر ہے؛ فلم کا مرکزی کردار ایک چھوٹا بچہ ہے۔
769,اس ادارتی کارٹون میں پیش کردہ مسئلے کی نشاندہی کریں۔[یہاں تصویر داخل کریں]
770,RFI (معلومات کی درخواست) کیا ہے؟
771,مصنوعی ذہانت طبی تشخیص میں کس طرح مدد کرتی ہے؟
772,ایک بامعنی ہائیکو نظم بنائیں۔
773,افریقہ کے پانچ ممالک کے نام بتائیں
774,گاہک کو ذاتی پیغام کے ساتھ سلام کریں۔جان
775,"ٹک ٹیک ٹو کیسے کھیلنا ہے۔اس بارے میں کوئی عالمی طور پر متفقہ اصول نہیں ہے کہ کون پہلے کھیلتا ہے، لیکن اس مضمون میں وہ کنونشن جو X پہلے کھیلتا ہے استعمال کیا گیا ہے۔

کھلاڑیوں کو جلد ہی پتہ چل جاتا ہے کہ دونوں فریقوں کا بہترین کھیل ڈرا کی طرف جاتا ہے۔ لہذا، ٹک-ٹیک-ٹو اکثر چھوٹے بچے کھیلتے ہیں جنہوں نے بہترین حکمت عملی دریافت نہیں کی ہو گی۔

Tic-tac-toe کی سادگی کی وجہ سے، یہ اکثر کھیل کے درختوں کی تلاش سے متعلق اچھی کھیلوں کی مہارت کے تصورات اور مصنوعی ذہانت کی شاخ کو سکھانے کے لیے ایک تدریسی ٹول کے طور پر استعمال ہوتا ہے۔ اس جگہ پر ٹک ٹیک ٹو کو مکمل طور پر کھیلنے کے لیے کمپیوٹر پروگرام لکھنا یا 765 بنیادی طور پر مختلف پوزیشنوں (ریاست کی جگہ کی پیچیدگی) یا 26,830 ممکنہ گیمز کو گردش اور عکاسی (گیم ٹری پیچیدگی) تک شمار کرنا سیدھا سیدھا ہے۔ [1] اگر دونوں کھلاڑیوں کے ذریعے بہتر طور پر کھیلا جائے، تو کھیل ہمیشہ ڈرا پر ختم ہوتا ہے، جس سے ٹک ٹاک ٹو ایک بیکار کھیل بن جاتا ہے۔[2]"
776,فون کیس کا مقصد کیا ہے؟
777,کیفین کے جسمانی اثرات بیان کریں۔
778,کسی فلم کا عنوان تجویز کریں۔
779,پانی کو محفوظ کرنے کا ایک طریقہ تجویز کریں۔
780,اصل کہانی کے لیے ایک کردار ڈیزائن کریں۔
781,"معلومات کے دیے گئے ٹکڑوں کو منطقی ترتیب میں ترتیب دیں۔میں. صارف کی شناخت کی تصدیق کریں۔
ii ادائیگی پر کارروائی کریں۔
iii کسٹمر سپورٹ پیش کریں۔
iv آرڈر کی تصدیق دکھائیں۔"
782,دنیا میں فرق پیدا کرنے کے 10 طریقوں کی فہرست بنائیں۔
783,"سنگھاری شیاماسندر کار کون تھا؟دیساراجا اڈیگورو سنگھاری شیاماسندر کر (اوڈیا: ସିଂହାରୀ ଶ୍ୟାମସୁନ୍ଦର କର, romanized: Singhāri Syāmasundasian 69 March 1988 موسیقی جگن ناتھ مندر کے ایک سبایاتا (خدمت کار) خاندان میں پیدا ہوئے، وہ مندر کی روایت کے تجربہ کار آقاؤں کے تحت تیار ہوئے اور جلد ہی 20 ویں صدی میں اوڈیسی کلاسیکی موسیقی کے زبردست گرووں میں سے ایک بن گئے۔ وہ اپنی طاقتور آواز اور پیچیدہ انداز، مردالا پر اپنی کمان کے ساتھ ساتھ اوڈیسی موسیقی کی تعلیم کو تعلیمی ادارہ سازی میں ان کے تعاون کے لیے سب سے زیادہ جانا جاتا تھا۔ اس کے دور کے اوڈیسی موسیقی، مردالا اور اوڈیسی رقص کے زیادہ تر فنکار سنگھاری کے زیر اثر اور علم کے زیر اثر آنے کا اعتراف کرتے ہیں۔ ان کا انتقال 16 مارچ 1975 کو ہوا۔[1][2]"
784,فوڈ انڈسٹری میں کسی کمپنی کے لیے لوگو ڈیزائن کریں۔
785,تقریر دی گئی، تقریر کو مزید اثر انگیز اور قائل کرنے کے لیے اس میں ترمیم کریں۔صبح بخیر خواتین و حضرات، میں یہاں آپ سے بات کرنے آیا ہوں کہ مجھے اگلا صدر کیوں ہونا چاہیے۔
786,ایک فنکشن بنائیں جو تین پیرامیٹرز لے اور ان میں سے سب سے بڑا لوٹائے۔
787,جب آپ کسی موضوع پر تحقیق کر رہے ہوں تو پوچھنے کے لیے سوالات کی ایک فہرست بنائیں
788,"اس نظم کو مزید روشن اور دلچسپ بنانے کے لیے دوبارہ لکھیں۔ایک دفعہ میرے پاس گھر تھا۔
جہاں میں نے ہزار یادیں بنائیں
اس نے میری اچھی طرح خدمت کی۔
لیکن اب میں چلا گیا ہوں"
789,درج ذیل شکل کو مقعر یا محدب کے طور پر درجہ بندی کریں۔<img src=https://i.ibb.co/6ZfJR6V/shape.png alt=shape border=0>
790,ایک خبر کی کہانی کو دیکھتے ہوئے، ایک سرخی بنائیں جو مضمون کے مرکزی نکتے کو حاصل کرے۔دنیا کی سب سے بڑی ٹیک کمپنیوں میں سے ایک نے ریاستہائے متحدہ میں قابل تجدید توانائی کے وسائل پیدا کرنے میں اربوں ڈالر کی سرمایہ کاری کرنے کے اپنے منصوبے کا اعلان کیا۔
791,مائٹوکونڈریل میٹرکس کیا ہے؟
792,ایک لغت میں دی گئی تعریف کے لیے ایک تعریف تلاش کریں۔دوستی
793,الفاظ 'صحافت، سیاست اور قانون' کو حروف تہجی کی ترتیب میں ترتیب دیں۔
794,مچھلی کی ایک قسم کون سی ہے؟ وینڈیس یا وینس
795,ایک جملے کو دیکھتے ہوئے، مختلف معنی کے ساتھ لیکن ایک ہی ساخت کے ساتھ ایک جملہ بنائیں۔اس نے اسے آنے کو کہا۔
796,دینین نے اپنی نوعمری میں کیا کیا؟1880 کی دہائی میں اپنی نوعمری میں، اس نے ساک کاؤنٹی، آئیووا میں ایک وقت کے لیے اسکول پڑھایا۔ اس نے ماؤنٹ کیرول سیمینری (بعد میں شمر کالج کے نام سے جانا جاتا ہے) میں تعلیم حاصل کی، 1890 میں باہر نکلی۔ اگرچہ اس وقت بنیادی طور پر ایک لبرل آرٹس ادارہ ہے، [5] اسکول نے سٹینوگرافی اور ٹائپ رائٹنگ کے کورسز بھی پیش کیے تھے۔[6] دینین نے اپنی پڑھائی میں اتنی اچھی کارکردگی کا مظاہرہ کیا کہ 1889[7] اور 1890 میں ان مضامین کے انسٹرکٹر کی خدمات حاصل کی گئیں۔
797,بیان کریں کہ کاروباری شخص کیا ہے۔
798,میں جنگل میں ایک چمکدار بیل فلاور کہاں تلاش کرسکتا ہوں؟Campanula cervicaria، جسے bristly bellflower بھی کہا جاتا ہے، بیل فلاور خاندان، Campanulaceae میں پھولدار پودے کی ایک قسم ہے۔ اسکینڈینیویا اور وسطی یورپ کے رہنے والے، C. cervicaria کو بھی امریکی ریاست مینیسوٹا کے کچھ حصوں میں قدرتی بنا دیا گیا ہے۔ اس کا قدرتی مسکن جنگل کے کنارے، پہاڑی گھاس کے میدان، خشک گھاس کے میدان اور کنارے ہیں، اور یہ وہاں بھی پھلتا پھولتا ہے جہاں مٹی کو خراب کیا گیا ہو، مثال کے طور پر سلیش اینڈ برن یا جنگل کی صفائی کے بعد۔ پودے کا تنے بالوں والا ہوتا ہے، جس میں ہلکے نیلے رنگ کے پھول تقریباً 1 سے 2 سینٹی میٹر (0.4 سے 0.8 انچ) لمبے ہوتے ہیں اور ایک ساتھ گروپ ہوتے ہیں۔ اس C. cervicaria کے پھول کی تصویر کیلا، ایسٹونیا میں لی گئی تھی۔
799,کتاب کے لیے متعلقہ ISBN نمبر تلاش کریں۔کتاب کا عنوان: The Great Gatsby
800,کمپیوٹر سائنس کا مخفف بنائیں۔
801,وضاحت کریں کہ معاشرہ علم کے اشتراک کو کیسے فروغ دے سکتا ہے۔
802,امریکہ میں ایک ایسی منزل تلاش کریں جو ایک ہفتے کی چھٹیوں کے لیے موزوں ہو۔
803,دیے گئے ادبی آلے کی تین مثالیں تلاش کریں اور اس کی وضاحت کریں۔انفورا
804,"ہندوستان کے ایک سابق صدر ڈاکٹر اے پی جے عبدالکلام کے بارے میں ایک حوالہ متن دیتے ہوئے، مجھے بتائیں کہ وہ کب پیدا ہوئے، ان کی پرورش کہاں ہوئی اور جن مضامین میں انہوں نے تعلیم حاصل کی۔ عبدالکلام کو ہندوستان کا میزائل مین کیوں کہا جاتا تھا؟Avul Pakir Jainulabdeen Abdul Kalam BR (/ˈɑːbdəl kəˈlɑːm/ (سنیں)؛ 15 اکتوبر 1931 - 27 جولائی 2015) ایک ہندوستانی ایرو اسپیس سائنسدان اور سیاستدان تھے جنہوں نے ہندوستان کے 11ویں صدر کے طور پر خدمات انجام دیں اور 2007 سے ہیرسن 2007 میں اس کی پرورش کی گئی۔ ، تمل ناڈو اور فزکس اور ایرو اسپیس انجینئرنگ کا مطالعہ کیا۔ اس نے اگلی چار دہائیاں بطور سائنسدان اور سائنس ایڈمنسٹریٹر کے طور پر گزاریں، خاص طور پر ڈیفنس ریسرچ اینڈ ڈیولپمنٹ آرگنائزیشن (DRDO) اور انڈین اسپیس ریسرچ آرگنائزیشن (ISRO) میں اور بھارت کے سویلین اسپیس پروگرام اور فوجی میزائل کی ترقی کی کوششوں میں گہرا تعلق رہا۔[1] اس طرح وہ بیلسٹک میزائل اور لانچ وہیکل ٹیکنالوجی کی ترقی پر اپنے کام کے لیے ہندوستان کے میزائل مین کے طور پر جانے جاتے تھے۔[2][3][4] انہوں نے 1998 میں بھارت کے پوکھران-II جوہری تجربات میں بھی ایک اہم تنظیمی، تکنیکی اور سیاسی کردار ادا کیا، جو کہ 1974 میں بھارت کی طرف سے اصل جوہری تجربے کے بعد پہلا تھا۔

کلام کو حکمراں بھارتیہ جنتا پارٹی اور اس وقت کی اپوزیشن انڈین نیشنل کانگریس دونوں کی حمایت سے 2002 میں ہندوستان کے 11ویں صدر کے طور پر منتخب کیا گیا تھا۔ بڑے پیمانے پر عوامی صدر کے طور پر جانا جاتا ہے، [6] وہ ایک ہی مدت کے بعد تعلیم، تحریر اور عوامی خدمت کی اپنی شہری زندگی میں واپس آئے۔ وہ کئی باوقار اعزازات کے وصول کنندہ تھے، بشمول بھارت رتن، بھارت کا سب سے بڑا شہری اعزاز۔"
805,مونیٹ اور وان گوگ کے مصوری کے انداز کا موازنہ اور اس کے برعکس کریں۔
806,آبادی کی حرکیات کو سمجھنے کے لیے پرندوں کو دیکھنے کی ایک نئی سرگرمی بنائیں۔
807,مندرجہ ذیل مثلث میں ہائپوٹینس کی لمبائی کا حساب لگائیں۔![alt text](https://www.onlinemathlearning.com/image-files/triangle-hypotenuse-length.png دائیں مثلث)
808,SEO کے لیے ویب سائٹ کو بہتر بنانے کے لیے کس قسم کا طریقہ استعمال کیا جا سکتا ہے؟
809,تمام اسموں کو ضمیروں سے بدل دیں۔مارکس گلی میں چل رہا تھا۔
810,آپ کو یہ جملہ دیا گیا ہے، وہ صوفے پر لیٹا ہوا تھا اور ایک لازمی جملہ بنانے کو کہا۔
811,وضاحت کریں کہ سرمایہ داری ایک فائدہ مند معاشی نظام کیوں ہے۔
